item_key,plant_code,material_id,regime,distribution_type,mean_daily_demand,cv_wd,mean_lead_time,cv_lead_time,delivery_observations,lead_time_stability,supplier_reliability,current_safety_stock_units,current_sap_slt_days,recommended_slt_days,slt_comparison_action,hard_escalation_flag,hard_reason_codes,selected_model,model_confidence,boundary_risk,escalation_flag,solver_used,policy_note,recommended_safety_stock,recommended_reorder_point,recommended_order_quantity,inventor_fill_rate_pct,sap_fill_rate_pct,universal_rq_fill_rate_pct,fill_gain_vs_sap_pct_pts,fill_gain_vs_universal_rq_pct_pts,inventor_total_cost,sap_total_cost,universal_rq_total_cost,cost_delta_vs_universal_rq,stockout_days_reduction_vs_sap,shortage_reduction_vs_sap,route_used,isolate_for_optimization,opportunity_score,optimization_reasons
PLANT_A__MATERIAL_0091,PLANT_A,MATERIAL_0091,Smooth,Normal,1178.3052,0.4968,2.4334,0.4596,73,Moderate,0.58,0.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=2270.6, SS_normal=3735 SS_spike=0 → SS=3735, ROP=10137, OQ=7340",4978,11500,8017,100.0,100.0,100.0,0.0,0.0,2940.0755,2077.8482,2940.0755,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0092,PLANT_A,MATERIAL_0092,Smooth,Normal,586.1395,0.4174,2.544,0.4271,78,Moderate,0.59,0.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=1086.1, SS_normal=1786 SS_spike=0 → SS=1786, ROP=4449, OQ=3374",2064,5372,3691,100.0,100.0,100.0,0.0,0.0,2949.9679,2112.1821,2949.9679,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0097,PLANT_A,MATERIAL_0097,Smooth,Normal,138.9573,0.5668,1.5464,0.5645,157,Unstable,0.56,100.0,3.0,3.0,MAINTAIN,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=147.7, SS_normal=243 SS_spike=0 → SS=243, ROP=597, OQ=1501",650,1305,1664,100.0,100.0,100.0,0.0,0.0,1182.1542,916.2238,1182.1542,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0145,PLANT_A,MATERIAL_0145,Smooth,Normal,199.215,0.3384,4.0052,0.4055,155,Moderate,0.24,0.0,4.0,10.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=462.3, SS_normal=760 SS_spike=0 → SS=760, ROP=2156, OQ=2964",847,2454,3172,100.0,100.0,100.0,0.0,0.0,1174.3846,968.9519,1174.3846,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0146,PLANT_A,MATERIAL_0146,Smooth,Normal,199.2593,0.3384,3.9996,0.398,189,Moderate,0.29,0.0,4.0,9.5,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,YES,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=461.1, SS_normal=758 SS_spike=0 → SS=758, ROP=2153, OQ=1777",838,2444,1902,100.0,100.0,100.0,0.0,0.0,2424.5115,1858.3477,2424.5115,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0147,PLANT_A,MATERIAL_0147,Smooth,Normal,201.2889,0.322,4.0368,0.3973,187,Moderate,0.31,65.0,4.0,9.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=464.8, SS_normal=765 SS_spike=0 → SS=765, ROP=2181, OQ=1305",838,2467,1395,100.0,100.0,100.0,0.0,0.0,3877.7483,2897.7462,3877.7483,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0148,PLANT_A,MATERIAL_0148,Smooth,Normal,198.7106,0.3387,4.1624,0.3699,143,Moderate,0.22,0.0,4.0,11.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=462.2, SS_normal=760 SS_spike=0 → SS=760, ROP=2183, OQ=3471",832,2462,3714,100.0,100.0,100.0,0.0,0.0,863.4206,716.4815,863.4206,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0149,PLANT_A,MATERIAL_0149,Smooth,Normal,199.131,0.339,4.0831,0.3734,156,Moderate,0.22,50.0,4.0,10.5,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=461.6, SS_normal=759 SS_spike=0 → SS=759, ROP=2169, OQ=2574",827,2445,2754,100.0,100.0,100.0,0.0,0.0,1337.0819,1087.0027,1337.0819,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0155,PLANT_A,MATERIAL_0155,Erratic,Gamma,207.1252,0.7447,2.4742,0.4804,141,Moderate,0.58,300.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,HIGH,YES,"(r,Q)","(r,Q) v3 [Erratic]: σ_LTD_rob=432.5, SS_normal=711 SS_spike=108 → SS=820, ROP=1954, OQ=4848",1426,2586,5301,100.0,100.0,100.0,0.0,0.0,417.579,338.5024,417.579,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0156,PLANT_A,MATERIAL_0156,Erratic,Gamma,207.1252,0.7447,2.5435,0.4909,127,Moderate,0.57,300.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,HIGH,YES,"(r,Q)","(r,Q) v3 [Erratic]: σ_LTD_rob=435.9, SS_normal=717 SS_spike=110 → SS=827, ROP=1975, OQ=1589",1443,2618,1737,100.0,100.0,100.0,0.0,0.0,2457.098,1708.536,2457.098,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0157,PLANT_A,MATERIAL_0157,Smooth,Normal,408.1068,0.3889,2.5157,0.4857,143,Moderate,0.58,380.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=806.5, SS_normal=1326 SS_spike=0 → SS=1326, ROP=3577, OQ=1648",1758,4043,1792,100.0,100.0,100.0,0.0,0.0,5579.9659,3927.1845,5579.9659,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0158,PLANT_A,MATERIAL_0158,Smooth,Normal,408.1068,0.3889,2.5712,0.4717,161,Moderate,0.62,380.0,3.0,4.0,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=807.7, SS_normal=1328 SS_spike=0 → SS=1328, ROP=3602, OQ=5369",1758,4062,5841,100.0,100.0,100.0,0.0,0.0,918.6096,763.0221,918.6096,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0166,PLANT_A,MATERIAL_0166,Smooth,Normal,225.1433,0.4317,2.7322,0.4223,186,Moderate,0.63,100.0,2.5,3.5,INCREASE,NO,,"(r,Q)",HIGH,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=465.9, SS_normal=766 SS_spike=0 → SS=766, ROP=2057, OQ=1249",804,1998,1307,100.0,100.0,100.0,0.0,0.0,2186.5496,1595.612,2186.5496,0.0,0.0,0.0,"(r,Q)",NO,0.0,
PLANT_A__MATERIAL_0197,PLANT_A,MATERIAL_0197,Smooth,Normal,1035.0636,0.6198,0.0,0.0,0,Stable,0.62,7500.0,2.0,0.0,DECREASE,NO,,"(r,Q)",MEDIUM,MEDIUM,NO,"(r,Q)","(r,Q) v3 [Smooth]: σ_LTD_rob=0.0, SS_normal=0 SS_spike=0 → SS=0, ROP=0, OQ=9894",3631,6813,11015,100.0,100.0,100.0,0.0,0.0,1254.7031,1569.2471,1254.7031,0.0,0.0,0.0,"(r,Q)",YES,0.0,thin_delivery_data
